1	0.4875	0.1525819451966713	0.5271875	0.274	0.1162067123706716   f 2500
2	0.6875	0.1505199322349037	0.7278125	0.5	0.0                  f filter
3	0.575	0.1695582495781317	0.64625	0.32600000000000007	0.12784365451597507       f 2500
4	0.7633333333333333	0.06574360974438676	0.8784666666666667	0.382	0.041182520563948014    filter val
5	0.8200000000000001	0.07333333333333336	0.9318000000000001	0.346	0.05953150426454886     mBgr val
6	0.59	0.07310570733153768	0.6133777777777778	0.326	0.014966629547095761                   2500
7	0.8166666666666667	0.06540472290116196	0.8834	0.329	0.0030000000000000022
7	0.6466666666666666	0.08589399151150084	0.7007111111111112	0.46900000000000003	0.013747727084867533
8	0.6625	0.14842927608797396	0.755	0.495	0.10190682018393078
9	0.6875	0.1152443057161611	0.70875	0.24000000000000005	2.7755575615628914e-17
11	0.7083333333333333	0.058925565098878974	0.7214583333333333	0.348	0.015999999999999993
